,Rate
AED,3.858649
AFN,92.782173
ALL,118.657086
AMD,429.030462
ANG,1.893686
AOA,449.690315
ARS,131.191369
AUD,1.519012
AWG,1.888348
AZN,1.782082
BAM,1.942684
BBD,2.121544
BDT,98.189782
BGN,1.951862
BHD,0.396072
BIF,2162.35803
BMD,1.050541
BND,1.456623
BOB,7.234248
BRL,5.484455
BSD,1.05069
BTC,5.0546857e-05
BTN,82.716218
BWP,12.877164
BYN,3.547893
BYR,20590.610076
BZD,2.117968
CAD,1.353113
CDF,2103.699774
CHF,1.006918
CLF,0.035036
CLP,966.750051
CNY,7.047352
COP,4312.020428
CRC,722.878517
CUC,1.050541
CUP,27.839345
CVE,109.523888
CZK,24.733897
DJF,187.049844
DKK,7.439524
DOP,57.285369
DZD,153.56075
EGP,19.709939
ERN,15.758121
ETB,54.778131
EUR,1.0
FJD,2.305412
FKP,0.862598
GBP,0.861885
GEL,3.088298
GGP,0.862598
GHS,8.356861
GIP,0.862598
GMD,56.823643
GNF,9125.910575
GTQ,8.145681
GYD,219.892062
HKD,8.244759
HNL,25.823262
HRK,7.532796
HTG,121.883256
HUF,398.060594
IDR,15600.906446
ILS,3.610275
IMP,0.862598
INR,83.012253
IQD,1533.543016
IRR,44490.425992
ISK,139.522329
JEP,0.862598
JMD,158.369366
JOD,0.744833
JPY,143.171446
KES,123.775022
KGS,83.52027
KHR,4273.22348
KMF,488.107765
KPW,945.487033
KRW,1356.390659
KWD,0.322409
KYD,0.875675
KZT,482.544777
LAK,15651.419502
LBP,1588.948108
LKR,378.259541
LRD,160.204843
LSL,16.640748
LTL,3.101975
LVL,0.635462
LYD,5.055988
MAD,10.542363
MDL,20.116081
MGA,4281.687223
MKD,61.200874
MMK,1945.408358
MNT,3281.983142
MOP,8.492832
MRO,375.043074
MUR,47.221403
MVR,16.12574
MWK,1071.19855
MXN,20.99615
MYR,4.619203
MZN,67.056496
NAD,16.640485
NGN,436.121196
NIO,37.674072
NOK,10.328819
NPR,132.349435
NZD,1.681821
OMR,0.404532
PAB,1.05079
PEN,3.967851
PGK,3.749837
PHP,57.51766
PKR,216.185642
PLN,4.691067
PYG,7214.283304
QAR,3.825028
RON,4.943955
RSD,117.397726
RUB,56.00223
RWF,1074.330358
SAR,3.942801
SBD,8.572384
SCR,13.486071
SDG,479.576524
SEK,10.655273
SGD,1.457715
SHP,1.447013
SLL,13835.628982
SOS,614.043642
SRD,23.347259
STD,21744.084504
SVC,9.194782
SYP,2639.516998
SZL,16.753236
THB,36.941266
TJS,11.121147
TMT,3.6874
TND,3.218332
TOP,2.456113
TRY,17.461466
TTD,7.13194
TWD,31.224713
TZS,2449.86217
UAH,31.042148
UGX,3952.758908
USD,1.050541
UYU,41.750488
UZS,11348.359364
VEF,224637486251.70956
VND,24435.591345
VUV,122.084283
WST,2.77839
XAF,651.532786
XAG,0.050101
XAU,0.000577
XCD,2.83914
XDR,0.785566
XOF,651.425003
XPF,118.869022
YER,262.897868
ZAR,16.852101
ZMK,9456.135466
ZMW,17.967321
ZWL,338.27388
