Bank Name,Market Cap (EUR$ Billion)
 JPMorgan Chase,399.491
 Industrial and Commercial Bank of China,295.001
 Bank of America,279.116
 Wells Fargo,213.869
 China Construction Bank,207.523
 Agricultural Bank of China,181.092
 HSBC Holdings PLC,169.098
 Citigroup Inc.,163.221
 Bank of China,150.818
 China Merchants Bank,133.077
 Royal Bank of Canada,113.55
 Toronto-Dominion Bank,106.376
 HDFC Bank,105.668
 Commonwealth Bank,99.551
 U.S. Bancorp,84.215
 Goldman Sachs,78.527
 Banco Santander,75.304
 Banco Bradesco,74.506
 Morgan Stanley,73.768
 Westpac,67.691
 Mitsubishi UFJ Financial Group,66.055
 Scotiabank,65.336
 PNC Financial Services,62.971
 Bank of Communications,61.714
 BNP Paribas,59.23
 Australia and New Zealand Banking Group,54.76
 National Australia Bank,51.567
 Lloyds Banking Group,51.078
 Sumitomo Mitsui Financial Group,49.741
 Bank of Montreal,48.014
 UBS,45.819
 ING Group,44.871
 Capital One,43.125
 The Bank of New York Mellon,42.487
 China Minsheng Bank,39.044
 China CITIC Bank,38.465
 Banco Bilbao Vizcaya Argentaria,37.338
 Mizuho Financial Group,36.869
 Intesa Sanpaolo,36.819
 Crédit Agricole,34.813
 Canadian Imperial Bank of Commerce,34.793
 Royal Bank of Scotland,33.875
 Barclays,33.187
 Credit Suisse,30.682
 Nordea,29.525
 Standard Chartered,29.306
 KBC Bank,27.34
 UniCredit,26.821
 Société Générale,21.223
 Deutsche Bank,15.735
